sentiment,type_token_ratio,avg_word_length,exclamation_dens,question_dens,emoji_count,positive_ratio,negative_ratio,sentiment_polarity,first_person_dens,sentence_count
-1,1.0,4.25,0.0,0.0,0.0,0.327,0.19,-0.25,0.0,1.0
-1,0.8846153846153846,5.961538461538462,0.0,0.0,0.0,0.061,0.197,-0.07142857142857142,0.0,1.0
-1,1.0,4.818181818181818,0.0,0.0,0.0,0.0,0.322,-0.15555555555555556,0.0,1.0
-1,0.90625,5.5625,0.0,0.0,0.0,0.049,0.222,-0.03833333333333332,0.0,1.0
-1,1.0,4.846153846153846,0.0,0.0,0.0,0.34,0.167,-0.35,0.0,1.0
-1,1.0,4.538461538461538,0.0,0.0,0.0,0.152,0.182,-0.15000000000000002,0.0,1.0
-1,0.8235294117647058,4.470588235294118,0.0,0.0,0.0,0.162,0.18,-0.35,0.0,1.0
-1,0.9666666666666667,4.9,0.0,0.0,0.0,0.272,0.0,-0.03333333333333333,0.0,1.0
-1,1.0,6.076923076923077,0.0,0.0,0.0,0.098,0.0,-0.175,0.0,1.0
-1,0.9696969696969697,5.484848484848484,0.0,0.0,0.0,0.199,0.181,-0.04761904761904764,0.0,1.0
-1,0.875,5.3125,0.0,0.0,0.0,0.0,0.171,-0.225,0.0,1.0
-1,0.9090909090909091,5.636363636363637,0.0,0.0,0.0,0.091,0.0,-0.037037037037037035,0.0,1.0
-1,0.9545454545454546,4.909090909090909,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,1.0
-1,0.8536585365853658,4.609756097560975,0.0,0.0,0.0,0.089,0.273,-0.09999999999999999,0.0,1.0
-1,1.0,4.4,0.0,0.0,0.0,0.0,0.647,-0.5,0.0,1.0
-1,0.9024390243902439,4.975609756097561,0.0,0.0,0.0,0.037,0.402,-0.25,0.0,1.0
-1,0.9166666666666666,5.5,0.0,0.0,0.0,0.0,0.185,-0.5,0.0,1.0
-1,1.0,4.142857142857143,0.0,0.0,0.0,0.0,0.0,-0.12777777777777777,0.0,1.0
-1,0.8275862068965517,6.379310344827586,0.0,0.0,0.0,0.045,0.131,-0.07777777777777779,0.0,1.0
-1,1.0,5.625,0.0,0.0,0.0,0.0,0.173,-0.125,0.0,1.0
-1,1.0,6.333333333333333,0.0,0.0,0.0,0.422,0.0,-0.09999999999999998,0.0,1.0
-1,0.9714285714285714,5.457142857142857,0.0,0.0,0.0,0.0,0.158,-0.23333333333333328,0.0,1.0
-1,0.9230769230769231,5.230769230769231,0.0,0.0,0.0,0.0,0.104,-0.15555555555555556,0.0,1.0
-1,0.8157894736842105,4.947368421052632,0.0,0.0,0.0,0.0,0.229,-0.14965986394557823,0.0,1.0
-1,0.9,5.8,0.0,0.0,0.0,0.0,0.284,-0.5,0.0,1.0
-1,0.85,5.5,0.0,0.0,0.0,0.113,0.13,-0.15357142857142855,0.0,1.0
-1,0.96875,5.5,0.0,0.0,0.0,0.053,0.249,-0.08000000000000003,0.0,1.0
-1,0.9705882352941176,5.0,0.0,0.0,0.0,0.077,0.074,-0.07500000000000001,0.0,1.0
-1,0.9393939393939394,5.333333333333333,0.0,0.0,0.0,0.112,0.209,-0.4,0.0,1.0
-1,0.8947368421052632,4.684210526315789,0.0,0.0,0.0,0.046,0.183,-0.3125,0.0,1.0
-1,0.9333333333333333,5.2,0.0,0.0,0.0,0.205,0.0,-0.007575757575757579,0.0,1.0
-1,0.7931034482758621,5.862068965517241,0.0,0.0,0.0,0.177,0.117,-0.025,0.0,1.0
-1,0.9166666666666666,5.111111111111111,0.0,0.0,0.0,0.07,0.305,-0.20000000000000004,0.0,1.0
-1,0.8620689655172413,5.137931034482759,0.0,0.0,0.0,0.152,0.221,-0.0625,0.0,1.0
-1,0.9285714285714286,4.607142857142857,0.0,0.0,0.0,0.22,0.344,-0.13000000000000003,0.0,1.0
-1,1.0,6.111111111111111,0.0,0.0,0.0,0.0,0.0,-0.04652777777777778,0.0,1.0
-1,1.0,4.75,0.0,0.0,0.0,0.0,0.528,-0.5,0.0,1.0
-1,1.0,5.105263157894737,0.0,0.0,0.0,0.087,0.115,-0.09722222222222222,0.0,1.0
-1,0.7674418604651163,5.023255813953488,0.0,0.0,0.0,0.259,0.084,-0.008571428571428563,0.0,1.0
-1,0.9444444444444444,5.055555555555555,0.0,0.0,0.0,0.159,0.303,-0.04444444444444443,0.0,1.0
-1,0.8,5.25,0.0,0.0,0.0,0.0,0.095,-0.05,0.0,1.0
